,0.0,0.0001,0.001,0.01,0.1,1.0,10.0
0,"tensor(121.3197, grad_fn=<MulBackward0>)","tensor(87.7187, grad_fn=<MulBackward0>)","tensor(85.7312, grad_fn=<MulBackward0>)","tensor(120.3271, grad_fn=<MulBackward0>)","tensor(78.1650, grad_fn=<MulBackward0>)","tensor(118.8041, grad_fn=<MulBackward0>)","tensor(111.8354, grad_fn=<MulBackward0>)"
1,"tensor(174.7612, grad_fn=<MulBackward0>)","tensor(116.9111, grad_fn=<MulBackward0>)","tensor(118.2098, grad_fn=<MulBackward0>)","tensor(145.0860, grad_fn=<MulBackward0>)","tensor(72.1224, grad_fn=<MulBackward0>)","tensor(155.0091, grad_fn=<MulBackward0>)","tensor(133.3398, grad_fn=<MulBackward0>)"
2,"tensor(168.6231, grad_fn=<MulBackward0>)","tensor(113.3774, grad_fn=<MulBackward0>)","tensor(111.6516, grad_fn=<MulBackward0>)","tensor(138.9603, grad_fn=<MulBackward0>)","tensor(62.3386, grad_fn=<MulBackward0>)","tensor(139.6658, grad_fn=<MulBackward0>)","tensor(154.8823, grad_fn=<MulBackward0>)"
3,"tensor(157.8432, grad_fn=<MulBackward0>)","tensor(112.6028, grad_fn=<MulBackward0>)","tensor(111.7829, grad_fn=<MulBackward0>)","tensor(132.1693, grad_fn=<MulBackward0>)","tensor(64.5310, grad_fn=<MulBackward0>)","tensor(132.8866, grad_fn=<MulBackward0>)","tensor(163.4962, grad_fn=<MulBackward0>)"
4,"tensor(147.5328, grad_fn=<MulBackward0>)","tensor(109.3992, grad_fn=<MulBackward0>)","tensor(105.0292, grad_fn=<MulBackward0>)","tensor(124.0198, grad_fn=<MulBackward0>)","tensor(73.5022, grad_fn=<MulBackward0>)","tensor(131.4575, grad_fn=<MulBackward0>)","tensor(164.9468, grad_fn=<MulBackward0>)"
5,"tensor(137.4739, grad_fn=<MulBackward0>)","tensor(103.9336, grad_fn=<MulBackward0>)","tensor(98.9276, grad_fn=<MulBackward0>)","tensor(116.5640, grad_fn=<MulBackward0>)","tensor(87.4446, grad_fn=<MulBackward0>)","tensor(133.6174, grad_fn=<MulBackward0>)","tensor(159.4635, grad_fn=<MulBackward0>)"
6,"tensor(129.9780, grad_fn=<MulBackward0>)","tensor(99.3864, grad_fn=<MulBackward0>)","tensor(94.4554, grad_fn=<MulBackward0>)","tensor(110.3251, grad_fn=<MulBackward0>)","tensor(88.6620, grad_fn=<MulBackward0>)","tensor(137.0021, grad_fn=<MulBackward0>)","tensor(189.4083, grad_fn=<MulBackward0>)"
7,"tensor(125.0220, grad_fn=<MulBackward0>)","tensor(95.8357, grad_fn=<MulBackward0>)","tensor(90.5660, grad_fn=<MulBackward0>)","tensor(104.0164, grad_fn=<MulBackward0>)","tensor(84.3015, grad_fn=<MulBackward0>)","tensor(143.6308, grad_fn=<MulBackward0>)","tensor(265.3628, grad_fn=<MulBackward0>)"
8,"tensor(121.7495, grad_fn=<MulBackward0>)","tensor(92.2697, grad_fn=<MulBackward0>)","tensor(88.3291, grad_fn=<MulBackward0>)","tensor(97.0588, grad_fn=<MulBackward0>)","tensor(87.3789, grad_fn=<MulBackward0>)","tensor(152.8765, grad_fn=<MulBackward0>)","tensor(396.7578, grad_fn=<MulBackward0>)"
9,"tensor(117.6180, grad_fn=<MulBackward0>)","tensor(89.2883, grad_fn=<MulBackward0>)","tensor(80.3196, grad_fn=<MulBackward0>)","tensor(91.5399, grad_fn=<MulBackward0>)","tensor(92.1842, grad_fn=<MulBackward0>)","tensor(165.2123, grad_fn=<MulBackward0>)","tensor(561.9485, grad_fn=<MulBackward0>)"
10,"tensor(113.5020, grad_fn=<MulBackward0>)","tensor(87.4457, grad_fn=<MulBackward0>)","tensor(75.9721, grad_fn=<MulBackward0>)","tensor(85.9697, grad_fn=<MulBackward0>)","tensor(97.3641, grad_fn=<MulBackward0>)","tensor(178.8764, grad_fn=<MulBackward0>)","tensor(734.0750, grad_fn=<MulBackward0>)"
11,"tensor(108.5635, grad_fn=<MulBackward0>)","tensor(85.3788, grad_fn=<MulBackward0>)","tensor(71.4453, grad_fn=<MulBackward0>)","tensor(81.9763, grad_fn=<MulBackward0>)","tensor(105.4604, grad_fn=<MulBackward0>)","tensor(194.7315, grad_fn=<MulBackward0>)","tensor(916.7766, grad_fn=<MulBackward0>)"
12,"tensor(103.6790, grad_fn=<MulBackward0>)","tensor(82.2065, grad_fn=<MulBackward0>)","tensor(71.0518, grad_fn=<MulBackward0>)","tensor(80.8847, grad_fn=<MulBackward0>)","tensor(115.2309, grad_fn=<MulBackward0>)","tensor(213.0717, grad_fn=<MulBackward0>)","tensor(1094.4415, grad_fn=<MulBackward0>)"
13,"tensor(97.2399, grad_fn=<MulBackward0>)","tensor(78.6706, grad_fn=<MulBackward0>)","tensor(72.2111, grad_fn=<MulBackward0>)","tensor(81.4008, grad_fn=<MulBackward0>)","tensor(124.8537, grad_fn=<MulBackward0>)","tensor(233.1893, grad_fn=<MulBackward0>)","tensor(1266.5935, grad_fn=<MulBackward0>)"
14,"tensor(94.0217, grad_fn=<MulBackward0>)","tensor(76.0109, grad_fn=<MulBackward0>)","tensor(75.1033, grad_fn=<MulBackward0>)","tensor(82.6382, grad_fn=<MulBackward0>)","tensor(132.6550, grad_fn=<MulBackward0>)","tensor(243.9514, grad_fn=<MulBackward0>)","tensor(1408.1560, grad_fn=<MulBackward0>)"
15,"tensor(93.4476, grad_fn=<MulBackward0>)","tensor(75.5319, grad_fn=<MulBackward0>)","tensor(78.2097, grad_fn=<MulBackward0>)","tensor(85.5315, grad_fn=<MulBackward0>)","tensor(141.0623, grad_fn=<MulBackward0>)","tensor(258.5132, grad_fn=<MulBackward0>)","tensor(1539.2656, grad_fn=<MulBackward0>)"
16,"tensor(94.8130, grad_fn=<MulBackward0>)","tensor(75.2650, grad_fn=<MulBackward0>)","tensor(81.2778, grad_fn=<MulBackward0>)","tensor(88.3380, grad_fn=<MulBackward0>)","tensor(148.6668, grad_fn=<MulBackward0>)","tensor(277.1611, grad_fn=<MulBackward0>)","tensor(1704.2349, grad_fn=<MulBackward0>)"
