,0.0,0.0001,0.001,0.01,0.1,1.0,10.0
14,"tensor(46.1584, grad_fn=<MulBackward0>)","tensor(41.8016, grad_fn=<MulBackward0>)","tensor(56.8704, grad_fn=<MulBackward0>)","tensor(41.9213, grad_fn=<MulBackward0>)","tensor(141.0406, grad_fn=<MulBackward0>)","tensor(106.3576, grad_fn=<MulBackward0>)","tensor(354.8102, grad_fn=<MulBackward0>)"
15,"tensor(47.1042, grad_fn=<MulBackward0>)","tensor(40.9775, grad_fn=<MulBackward0>)","tensor(59.0429, grad_fn=<MulBackward0>)","tensor(43.4919, grad_fn=<MulBackward0>)","tensor(134.2704, grad_fn=<MulBackward0>)","tensor(103.8898, grad_fn=<MulBackward0>)","tensor(286.9603, grad_fn=<MulBackward0>)"
16,"tensor(46.2520, grad_fn=<MulBackward0>)","tensor(40.2762, grad_fn=<MulBackward0>)","tensor(60.7574, grad_fn=<MulBackward0>)","tensor(45.2364, grad_fn=<MulBackward0>)","tensor(128.0209, grad_fn=<MulBackward0>)","tensor(106.8623, grad_fn=<MulBackward0>)","tensor(266.5229, grad_fn=<MulBackward0>)"
17,"tensor(47.0751, grad_fn=<MulBackward0>)","tensor(39.4453, grad_fn=<MulBackward0>)","tensor(61.9444, grad_fn=<MulBackward0>)","tensor(47.1444, grad_fn=<MulBackward0>)","tensor(124.7295, grad_fn=<MulBackward0>)","tensor(114.9621, grad_fn=<MulBackward0>)","tensor(294.2151, grad_fn=<MulBackward0>)"
18,"tensor(48.3726, grad_fn=<MulBackward0>)","tensor(38.7616, grad_fn=<MulBackward0>)","tensor(62.9015, grad_fn=<MulBackward0>)","tensor(49.0676, grad_fn=<MulBackward0>)","tensor(123.5081, grad_fn=<MulBackward0>)","tensor(124.6877, grad_fn=<MulBackward0>)","tensor(363.9547, grad_fn=<MulBackward0>)"
19,"tensor(49.5098, grad_fn=<MulBackward0>)","tensor(38.1216, grad_fn=<MulBackward0>)","tensor(63.6669, grad_fn=<MulBackward0>)","tensor(50.9172, grad_fn=<MulBackward0>)","tensor(124.1928, grad_fn=<MulBackward0>)","tensor(135.5288, grad_fn=<MulBackward0>)","tensor(472.2643, grad_fn=<MulBackward0>)"
20,"tensor(50.2449, grad_fn=<MulBackward0>)","tensor(37.5911, grad_fn=<MulBackward0>)","tensor(64.1041, grad_fn=<MulBackward0>)","tensor(52.8652, grad_fn=<MulBackward0>)","tensor(126.6845, grad_fn=<MulBackward0>)","tensor(146.9769, grad_fn=<MulBackward0>)","tensor(596.0494, grad_fn=<MulBackward0>)"
21,"tensor(50.8271, grad_fn=<MulBackward0>)","tensor(37.0053, grad_fn=<MulBackward0>)","tensor(64.5590, grad_fn=<MulBackward0>)","tensor(54.5947, grad_fn=<MulBackward0>)","tensor(130.2189, grad_fn=<MulBackward0>)","tensor(158.7952, grad_fn=<MulBackward0>)","tensor(718.3950, grad_fn=<MulBackward0>)"
22,"tensor(50.9957, grad_fn=<MulBackward0>)","tensor(36.5389, grad_fn=<MulBackward0>)","tensor(64.8541, grad_fn=<MulBackward0>)","tensor(56.2029, grad_fn=<MulBackward0>)","tensor(134.3078, grad_fn=<MulBackward0>)","tensor(171.0990, grad_fn=<MulBackward0>)","tensor(827.2528, grad_fn=<MulBackward0>)"
23,"tensor(51.1445, grad_fn=<MulBackward0>)","tensor(36.0581, grad_fn=<MulBackward0>)","tensor(65.1593, grad_fn=<MulBackward0>)","tensor(57.7119, grad_fn=<MulBackward0>)","tensor(138.5886, grad_fn=<MulBackward0>)","tensor(183.8108, grad_fn=<MulBackward0>)","tensor(920.7987, grad_fn=<MulBackward0>)"
24,"tensor(50.1912, grad_fn=<MulBackward0>)","tensor(35.5779, grad_fn=<MulBackward0>)","tensor(65.4465, grad_fn=<MulBackward0>)","tensor(59.1709, grad_fn=<MulBackward0>)","tensor(142.8906, grad_fn=<MulBackward0>)","tensor(196.0623, grad_fn=<MulBackward0>)","tensor(1006.6805, grad_fn=<MulBackward0>)"
25,"tensor(49.6082, grad_fn=<MulBackward0>)","tensor(35.1444, grad_fn=<MulBackward0>)","tensor(65.6627, grad_fn=<MulBackward0>)","tensor(60.5383, grad_fn=<MulBackward0>)","tensor(146.8878, grad_fn=<MulBackward0>)","tensor(207.5304, grad_fn=<MulBackward0>)","tensor(1099.7228, grad_fn=<MulBackward0>)"
26,"tensor(50.0218, grad_fn=<MulBackward0>)","tensor(34.8727, grad_fn=<MulBackward0>)","tensor(66.0311, grad_fn=<MulBackward0>)","tensor(61.8370, grad_fn=<MulBackward0>)","tensor(150.7710, grad_fn=<MulBackward0>)","tensor(218.0279, grad_fn=<MulBackward0>)","tensor(1201.6570, grad_fn=<MulBackward0>)"
27,"tensor(50.2315, grad_fn=<MulBackward0>)","tensor(34.4034, grad_fn=<MulBackward0>)","tensor(66.1856, grad_fn=<MulBackward0>)","tensor(63.1814, grad_fn=<MulBackward0>)","tensor(154.9390, grad_fn=<MulBackward0>)","tensor(228.8640, grad_fn=<MulBackward0>)","tensor(1297.3995, grad_fn=<MulBackward0>)"
28,"tensor(50.3259, grad_fn=<MulBackward0>)","tensor(33.5297, grad_fn=<MulBackward0>)","tensor(66.4193, grad_fn=<MulBackward0>)","tensor(64.4718, grad_fn=<MulBackward0>)","tensor(159.2299, grad_fn=<MulBackward0>)","tensor(240.0704, grad_fn=<MulBackward0>)","tensor(1398.6099, grad_fn=<MulBackward0>)"
29,"tensor(50.2466, grad_fn=<MulBackward0>)","tensor(32.4300, grad_fn=<MulBackward0>)","tensor(66.4451, grad_fn=<MulBackward0>)","tensor(65.9393, grad_fn=<MulBackward0>)","tensor(163.9714, grad_fn=<MulBackward0>)","tensor(251.5819, grad_fn=<MulBackward0>)","tensor(1495.7074, grad_fn=<MulBackward0>)"
30,"tensor(49.7514, grad_fn=<MulBackward0>)","tensor(31.7643, grad_fn=<MulBackward0>)","tensor(66.3216, grad_fn=<MulBackward0>)","tensor(67.8064, grad_fn=<MulBackward0>)","tensor(168.5879, grad_fn=<MulBackward0>)","tensor(262.3394, grad_fn=<MulBackward0>)","tensor(1594.8632, grad_fn=<MulBackward0>)"
31,"tensor(49.2460, grad_fn=<MulBackward0>)","tensor(32.6842, grad_fn=<MulBackward0>)","tensor(66.1071, grad_fn=<MulBackward0>)","tensor(70.1142, grad_fn=<MulBackward0>)","tensor(172.7875, grad_fn=<MulBackward0>)","tensor(272.3858, grad_fn=<MulBackward0>)","tensor(1684.1888, grad_fn=<MulBackward0>)"
32,"tensor(48.5504, grad_fn=<MulBackward0>)","tensor(34.2583, grad_fn=<MulBackward0>)","tensor(65.9997, grad_fn=<MulBackward0>)","tensor(70.4303, grad_fn=<MulBackward0>)","tensor(177.3895, grad_fn=<MulBackward0>)","tensor(283.4217, grad_fn=<MulBackward0>)","tensor(1773.8976, grad_fn=<MulBackward0>)"
33,"tensor(48.0369, grad_fn=<MulBackward0>)","tensor(36.0883, grad_fn=<MulBackward0>)","tensor(65.8310, grad_fn=<MulBackward0>)","tensor(70.4025, grad_fn=<MulBackward0>)","tensor(181.6374, grad_fn=<MulBackward0>)","tensor(293.9847, grad_fn=<MulBackward0>)","tensor(1869.2904, grad_fn=<MulBackward0>)"
34,"tensor(47.7479, grad_fn=<MulBackward0>)","tensor(37.8434, grad_fn=<MulBackward0>)","tensor(65.6620, grad_fn=<MulBackward0>)","tensor(70.4047, grad_fn=<MulBackward0>)","tensor(186.4152, grad_fn=<MulBackward0>)","tensor(305.0561, grad_fn=<MulBackward0>)","tensor(1956.0645, grad_fn=<MulBackward0>)"
35,"tensor(47.3043, grad_fn=<MulBackward0>)","tensor(39.5015, grad_fn=<MulBackward0>)","tensor(65.4111, grad_fn=<MulBackward0>)","tensor(71.1839, grad_fn=<MulBackward0>)","tensor(190.9332, grad_fn=<MulBackward0>)","tensor(317.1335, grad_fn=<MulBackward0>)","tensor(2042.4725, grad_fn=<MulBackward0>)"
36,"tensor(46.8267, grad_fn=<MulBackward0>)","tensor(40.7836, grad_fn=<MulBackward0>)","tensor(65.2316, grad_fn=<MulBackward0>)","tensor(72.0298, grad_fn=<MulBackward0>)","tensor(195.6288, grad_fn=<MulBackward0>)","tensor(328.5850, grad_fn=<MulBackward0>)","tensor(2117.1052, grad_fn=<MulBackward0>)"
37,"tensor(46.5529, grad_fn=<MulBackward0>)","tensor(42.1831, grad_fn=<MulBackward0>)","tensor(65.0145, grad_fn=<MulBackward0>)","tensor(72.9691, grad_fn=<MulBackward0>)","tensor(200.0009, grad_fn=<MulBackward0>)","tensor(340.1526, grad_fn=<MulBackward0>)","tensor(2178.0725, grad_fn=<MulBackward0>)"
38,"tensor(46.2773, grad_fn=<MulBackward0>)","tensor(43.2943, grad_fn=<MulBackward0>)","tensor(64.9661, grad_fn=<MulBackward0>)","tensor(74.0866, grad_fn=<MulBackward0>)","tensor(204.6944, grad_fn=<MulBackward0>)","tensor(352.6920, grad_fn=<MulBackward0>)","tensor(2240.4026, grad_fn=<MulBackward0>)"
39,"tensor(46.1394, grad_fn=<MulBackward0>)","tensor(44.2226, grad_fn=<MulBackward0>)","tensor(64.9228, grad_fn=<MulBackward0>)","tensor(75.3967, grad_fn=<MulBackward0>)","tensor(209.4458, grad_fn=<MulBackward0>)","tensor(365.4931, grad_fn=<MulBackward0>)","tensor(2301.1763, grad_fn=<MulBackward0>)"
40,"tensor(46.0803, grad_fn=<MulBackward0>)","tensor(45.0131, grad_fn=<MulBackward0>)","tensor(64.7725, grad_fn=<MulBackward0>)","tensor(76.6237, grad_fn=<MulBackward0>)","tensor(214.3344, grad_fn=<MulBackward0>)","tensor(377.0040, grad_fn=<MulBackward0>)","tensor(2367.9553, grad_fn=<MulBackward0>)"
41,"tensor(45.8585, grad_fn=<MulBackward0>)","tensor(45.5603, grad_fn=<MulBackward0>)","tensor(64.5592, grad_fn=<MulBackward0>)","tensor(77.9108, grad_fn=<MulBackward0>)","tensor(218.8338, grad_fn=<MulBackward0>)","tensor(388.9340, grad_fn=<MulBackward0>)","tensor(2435.8848, grad_fn=<MulBackward0>)"
42,"tensor(45.9792, grad_fn=<MulBackward0>)","tensor(46.0506, grad_fn=<MulBackward0>)","tensor(64.1999, grad_fn=<MulBackward0>)","tensor(79.2033, grad_fn=<MulBackward0>)","tensor(223.5107, grad_fn=<MulBackward0>)","tensor(400.5114, grad_fn=<MulBackward0>)","tensor(2508.1975, grad_fn=<MulBackward0>)"
43,"tensor(45.8787, grad_fn=<MulBackward0>)","tensor(46.3372, grad_fn=<MulBackward0>)","tensor(63.9545, grad_fn=<MulBackward0>)","tensor(80.4709, grad_fn=<MulBackward0>)","tensor(227.9109, grad_fn=<MulBackward0>)","tensor(412.5869, grad_fn=<MulBackward0>)","tensor(2575.5439, grad_fn=<MulBackward0>)"
44,"tensor(45.8145, grad_fn=<MulBackward0>)","tensor(46.6176, grad_fn=<MulBackward0>)","tensor(63.7598, grad_fn=<MulBackward0>)","tensor(81.7025, grad_fn=<MulBackward0>)","tensor(232.1632, grad_fn=<MulBackward0>)","tensor(424.0212, grad_fn=<MulBackward0>)","tensor(2626.7415, grad_fn=<MulBackward0>)"
45,"tensor(45.8365, grad_fn=<MulBackward0>)","tensor(46.7975, grad_fn=<MulBackward0>)","tensor(63.5865, grad_fn=<MulBackward0>)","tensor(82.9662, grad_fn=<MulBackward0>)","tensor(237.1058, grad_fn=<MulBackward0>)","tensor(436.9096, grad_fn=<MulBackward0>)","tensor(2674.0886, grad_fn=<MulBackward0>)"
46,"tensor(45.9499, grad_fn=<MulBackward0>)","tensor(46.9836, grad_fn=<MulBackward0>)","tensor(63.5849, grad_fn=<MulBackward0>)","tensor(84.0786, grad_fn=<MulBackward0>)","tensor(241.8087, grad_fn=<MulBackward0>)","tensor(451.1260, grad_fn=<MulBackward0>)","tensor(2732.8049, grad_fn=<MulBackward0>)"
47,"tensor(46.0170, grad_fn=<MulBackward0>)","tensor(47.0246, grad_fn=<MulBackward0>)","tensor(63.4874, grad_fn=<MulBackward0>)","tensor(85.4065, grad_fn=<MulBackward0>)","tensor(246.7573, grad_fn=<MulBackward0>)","tensor(464.9988, grad_fn=<MulBackward0>)","tensor(2793.7861, grad_fn=<MulBackward0>)"
48,"tensor(46.1540, grad_fn=<MulBackward0>)","tensor(47.1127, grad_fn=<MulBackward0>)","tensor(63.4076, grad_fn=<MulBackward0>)","tensor(86.6171, grad_fn=<MulBackward0>)","tensor(251.5310, grad_fn=<MulBackward0>)","tensor(479.2822, grad_fn=<MulBackward0>)","tensor(2835.0608, grad_fn=<MulBackward0>)"
49,"tensor(46.2096, grad_fn=<MulBackward0>)","tensor(47.2773, grad_fn=<MulBackward0>)","tensor(63.3109, grad_fn=<MulBackward0>)","tensor(87.8134, grad_fn=<MulBackward0>)","tensor(256.4380, grad_fn=<MulBackward0>)","tensor(493.0758, grad_fn=<MulBackward0>)","tensor(2861.5369, grad_fn=<MulBackward0>)"
