,0.0,0.0001,0.001,0.01,0.1,1.0,10.0
0,"tensor(43.9895, grad_fn=<MulBackward0>)","tensor(59.1846, grad_fn=<MulBackward0>)","tensor(46.0366, grad_fn=<MulBackward0>)","tensor(49.3951, grad_fn=<MulBackward0>)","tensor(90.9455, grad_fn=<MulBackward0>)","tensor(36.3129, grad_fn=<MulBackward0>)","tensor(50.2165, grad_fn=<MulBackward0>)"
1,"tensor(53.8708, grad_fn=<MulBackward0>)","tensor(37.5422, grad_fn=<MulBackward0>)","tensor(67.9347, grad_fn=<MulBackward0>)","tensor(58.9630, grad_fn=<MulBackward0>)","tensor(117.6102, grad_fn=<MulBackward0>)","tensor(45.7052, grad_fn=<MulBackward0>)","tensor(62.6575, grad_fn=<MulBackward0>)"
2,"tensor(61.9566, grad_fn=<MulBackward0>)","tensor(42.1131, grad_fn=<MulBackward0>)","tensor(78.0276, grad_fn=<MulBackward0>)","tensor(64.3245, grad_fn=<MulBackward0>)","tensor(147.5119, grad_fn=<MulBackward0>)","tensor(52.7890, grad_fn=<MulBackward0>)","tensor(81.7908, grad_fn=<MulBackward0>)"
3,"tensor(61.3202, grad_fn=<MulBackward0>)","tensor(47.1095, grad_fn=<MulBackward0>)","tensor(80.9500, grad_fn=<MulBackward0>)","tensor(61.3514, grad_fn=<MulBackward0>)","tensor(156.3990, grad_fn=<MulBackward0>)","tensor(57.8068, grad_fn=<MulBackward0>)","tensor(103.7414, grad_fn=<MulBackward0>)"
4,"tensor(57.7764, grad_fn=<MulBackward0>)","tensor(50.4431, grad_fn=<MulBackward0>)","tensor(79.3966, grad_fn=<MulBackward0>)","tensor(55.0590, grad_fn=<MulBackward0>)","tensor(156.1323, grad_fn=<MulBackward0>)","tensor(62.6624, grad_fn=<MulBackward0>)","tensor(133.7129, grad_fn=<MulBackward0>)"
5,"tensor(54.1732, grad_fn=<MulBackward0>)","tensor(51.0991, grad_fn=<MulBackward0>)","tensor(73.4581, grad_fn=<MulBackward0>)","tensor(48.9458, grad_fn=<MulBackward0>)","tensor(155.2856, grad_fn=<MulBackward0>)","tensor(68.8552, grad_fn=<MulBackward0>)","tensor(174.3317, grad_fn=<MulBackward0>)"
6,"tensor(51.3404, grad_fn=<MulBackward0>)","tensor(49.9671, grad_fn=<MulBackward0>)","tensor(67.7519, grad_fn=<MulBackward0>)","tensor(44.3783, grad_fn=<MulBackward0>)","tensor(155.9055, grad_fn=<MulBackward0>)","tensor(73.5992, grad_fn=<MulBackward0>)","tensor(232.9569, grad_fn=<MulBackward0>)"
7,"tensor(49.2914, grad_fn=<MulBackward0>)","tensor(48.1217, grad_fn=<MulBackward0>)","tensor(60.1696, grad_fn=<MulBackward0>)","tensor(40.8915, grad_fn=<MulBackward0>)","tensor(156.3468, grad_fn=<MulBackward0>)","tensor(77.7054, grad_fn=<MulBackward0>)","tensor(299.0029, grad_fn=<MulBackward0>)"
8,"tensor(47.6030, grad_fn=<MulBackward0>)","tensor(46.6667, grad_fn=<MulBackward0>)","tensor(53.6276, grad_fn=<MulBackward0>)","tensor(38.7267, grad_fn=<MulBackward0>)","tensor(155.7896, grad_fn=<MulBackward0>)","tensor(83.2419, grad_fn=<MulBackward0>)","tensor(340.7185, grad_fn=<MulBackward0>)"
9,"tensor(45.9630, grad_fn=<MulBackward0>)","tensor(45.3313, grad_fn=<MulBackward0>)","tensor(50.6342, grad_fn=<MulBackward0>)","tensor(37.6950, grad_fn=<MulBackward0>)","tensor(155.4917, grad_fn=<MulBackward0>)","tensor(89.5061, grad_fn=<MulBackward0>)","tensor(348.4573, grad_fn=<MulBackward0>)"
10,"tensor(44.7607, grad_fn=<MulBackward0>)","tensor(44.5501, grad_fn=<MulBackward0>)","tensor(49.9416, grad_fn=<MulBackward0>)","tensor(37.6857, grad_fn=<MulBackward0>)","tensor(155.6004, grad_fn=<MulBackward0>)","tensor(95.6605, grad_fn=<MulBackward0>)","tensor(345.7305, grad_fn=<MulBackward0>)"
11,"tensor(45.9062, grad_fn=<MulBackward0>)","tensor(43.7505, grad_fn=<MulBackward0>)","tensor(50.5038, grad_fn=<MulBackward0>)","tensor(38.1464, grad_fn=<MulBackward0>)","tensor(155.4720, grad_fn=<MulBackward0>)","tensor(101.6306, grad_fn=<MulBackward0>)","tensor(351.9774, grad_fn=<MulBackward0>)"
12,"tensor(45.1898, grad_fn=<MulBackward0>)","tensor(43.0745, grad_fn=<MulBackward0>)","tensor(52.2065, grad_fn=<MulBackward0>)","tensor(39.1827, grad_fn=<MulBackward0>)","tensor(153.7059, grad_fn=<MulBackward0>)","tensor(106.1131, grad_fn=<MulBackward0>)","tensor(371.3521, grad_fn=<MulBackward0>)"
13,"tensor(44.6814, grad_fn=<MulBackward0>)","tensor(42.4717, grad_fn=<MulBackward0>)","tensor(54.5272, grad_fn=<MulBackward0>)","tensor(40.3482, grad_fn=<MulBackward0>)","tensor(147.2207, grad_fn=<MulBackward0>)","tensor(108.3180, grad_fn=<MulBackward0>)","tensor(392.9573, grad_fn=<MulBackward0>)"
