,0.0,0.0001,0.001,0.01,0.1,1.0,10.0
0,"tensor(32.5703, grad_fn=<MulBackward0>)","tensor(18.0347, grad_fn=<MulBackward0>)","tensor(14.2914, grad_fn=<MulBackward0>)","tensor(18.7455, grad_fn=<MulBackward0>)","tensor(9.0480, grad_fn=<MulBackward0>)","tensor(16.2544, grad_fn=<MulBackward0>)","tensor(14.1581, grad_fn=<MulBackward0>)"
1,"tensor(31.1490, grad_fn=<MulBackward0>)","tensor(13.8810, grad_fn=<MulBackward0>)","tensor(13.5413, grad_fn=<MulBackward0>)","tensor(18.5796, grad_fn=<MulBackward0>)","tensor(6.9861, grad_fn=<MulBackward0>)","tensor(15.3307, grad_fn=<MulBackward0>)","tensor(12.2797, grad_fn=<MulBackward0>)"
2,"tensor(27.8503, grad_fn=<MulBackward0>)","tensor(10.3449, grad_fn=<MulBackward0>)","tensor(12.7423, grad_fn=<MulBackward0>)","tensor(20.4109, grad_fn=<MulBackward0>)","tensor(5.7628, grad_fn=<MulBackward0>)","tensor(16.3266, grad_fn=<MulBackward0>)","tensor(16.2904, grad_fn=<MulBackward0>)"
3,"tensor(26.6158, grad_fn=<MulBackward0>)","tensor(8.4064, grad_fn=<MulBackward0>)","tensor(12.5267, grad_fn=<MulBackward0>)","tensor(21.9083, grad_fn=<MulBackward0>)","tensor(5.3579, grad_fn=<MulBackward0>)","tensor(17.2282, grad_fn=<MulBackward0>)","tensor(23.6508, grad_fn=<MulBackward0>)"
4,"tensor(25.9223, grad_fn=<MulBackward0>)","tensor(7.4006, grad_fn=<MulBackward0>)","tensor(13.2643, grad_fn=<MulBackward0>)","tensor(22.1758, grad_fn=<MulBackward0>)","tensor(5.5602, grad_fn=<MulBackward0>)","tensor(18.3162, grad_fn=<MulBackward0>)","tensor(32.3241, grad_fn=<MulBackward0>)"
5,"tensor(25.0581, grad_fn=<MulBackward0>)","tensor(6.9697, grad_fn=<MulBackward0>)","tensor(14.2759, grad_fn=<MulBackward0>)","tensor(21.7747, grad_fn=<MulBackward0>)","tensor(6.0541, grad_fn=<MulBackward0>)","tensor(19.6215, grad_fn=<MulBackward0>)","tensor(42.0205, grad_fn=<MulBackward0>)"
6,"tensor(23.8703, grad_fn=<MulBackward0>)","tensor(6.9881, grad_fn=<MulBackward0>)","tensor(15.1534, grad_fn=<MulBackward0>)","tensor(21.3266, grad_fn=<MulBackward0>)","tensor(6.6583, grad_fn=<MulBackward0>)","tensor(20.9697, grad_fn=<MulBackward0>)","tensor(52.3516, grad_fn=<MulBackward0>)"
7,"tensor(22.5375, grad_fn=<MulBackward0>)","tensor(7.0022, grad_fn=<MulBackward0>)","tensor(15.6748, grad_fn=<MulBackward0>)","tensor(21.2017, grad_fn=<MulBackward0>)","tensor(7.2813, grad_fn=<MulBackward0>)","tensor(22.3882, grad_fn=<MulBackward0>)","tensor(63.2540, grad_fn=<MulBackward0>)"
8,"tensor(21.0384, grad_fn=<MulBackward0>)","tensor(7.0113, grad_fn=<MulBackward0>)","tensor(15.7946, grad_fn=<MulBackward0>)","tensor(21.3717, grad_fn=<MulBackward0>)","tensor(7.8864, grad_fn=<MulBackward0>)","tensor(23.8028, grad_fn=<MulBackward0>)","tensor(74.7108, grad_fn=<MulBackward0>)"
9,"tensor(19.5582, grad_fn=<MulBackward0>)","tensor(7.1405, grad_fn=<MulBackward0>)","tensor(15.6151, grad_fn=<MulBackward0>)","tensor(21.6050, grad_fn=<MulBackward0>)","tensor(8.5024, grad_fn=<MulBackward0>)","tensor(25.2429, grad_fn=<MulBackward0>)","tensor(84.6901, grad_fn=<MulBackward0>)"
10,"tensor(17.8890, grad_fn=<MulBackward0>)","tensor(7.1504, grad_fn=<MulBackward0>)","tensor(15.3220, grad_fn=<MulBackward0>)","tensor(22.0006, grad_fn=<MulBackward0>)","tensor(9.1164, grad_fn=<MulBackward0>)","tensor(25.7891, grad_fn=<MulBackward0>)","tensor(92.5023, grad_fn=<MulBackward0>)"
