,0.0,0.0001,0.001,0.01,0.1,1.0,10.0
11,"tensor(16.2963, grad_fn=<MulBackward0>)","tensor(6.9691, grad_fn=<MulBackward0>)","tensor(15.0602, grad_fn=<MulBackward0>)","tensor(22.4067, grad_fn=<MulBackward0>)","tensor(9.7074, grad_fn=<MulBackward0>)","tensor(26.5289, grad_fn=<MulBackward0>)","tensor(99.7905, grad_fn=<MulBackward0>)"
12,"tensor(15.0359, grad_fn=<MulBackward0>)","tensor(6.7246, grad_fn=<MulBackward0>)","tensor(14.6492, grad_fn=<MulBackward0>)","tensor(22.7963, grad_fn=<MulBackward0>)","tensor(10.2825, grad_fn=<MulBackward0>)","tensor(27.3672, grad_fn=<MulBackward0>)","tensor(107.0699, grad_fn=<MulBackward0>)"
13,"tensor(14.1600, grad_fn=<MulBackward0>)","tensor(6.5962, grad_fn=<MulBackward0>)","tensor(14.0581, grad_fn=<MulBackward0>)","tensor(22.8255, grad_fn=<MulBackward0>)","tensor(10.8454, grad_fn=<MulBackward0>)","tensor(28.3104, grad_fn=<MulBackward0>)","tensor(114.5321, grad_fn=<MulBackward0>)"
14,"tensor(13.6656, grad_fn=<MulBackward0>)","tensor(6.6318, grad_fn=<MulBackward0>)","tensor(13.2942, grad_fn=<MulBackward0>)","tensor(22.4285, grad_fn=<MulBackward0>)","tensor(11.2217, grad_fn=<MulBackward0>)","tensor(29.0699, grad_fn=<MulBackward0>)","tensor(121.4997, grad_fn=<MulBackward0>)"
15,"tensor(13.3454, grad_fn=<MulBackward0>)","tensor(6.7765, grad_fn=<MulBackward0>)","tensor(12.5408, grad_fn=<MulBackward0>)","tensor(21.8119, grad_fn=<MulBackward0>)","tensor(11.5115, grad_fn=<MulBackward0>)","tensor(30.1064, grad_fn=<MulBackward0>)","tensor(127.8925, grad_fn=<MulBackward0>)"
16,"tensor(12.9414, grad_fn=<MulBackward0>)","tensor(6.9730, grad_fn=<MulBackward0>)","tensor(11.8668, grad_fn=<MulBackward0>)","tensor(21.1680, grad_fn=<MulBackward0>)","tensor(11.8052, grad_fn=<MulBackward0>)","tensor(31.0136, grad_fn=<MulBackward0>)","tensor(134.5945, grad_fn=<MulBackward0>)"
17,"tensor(12.5869, grad_fn=<MulBackward0>)","tensor(7.1714, grad_fn=<MulBackward0>)","tensor(11.3508, grad_fn=<MulBackward0>)","tensor(20.6352, grad_fn=<MulBackward0>)","tensor(12.0609, grad_fn=<MulBackward0>)","tensor(32.4245, grad_fn=<MulBackward0>)","tensor(141.1069, grad_fn=<MulBackward0>)"
18,"tensor(12.3571, grad_fn=<MulBackward0>)","tensor(7.3073, grad_fn=<MulBackward0>)","tensor(11.0011, grad_fn=<MulBackward0>)","tensor(20.0581, grad_fn=<MulBackward0>)","tensor(12.3900, grad_fn=<MulBackward0>)","tensor(33.4635, grad_fn=<MulBackward0>)","tensor(146.9055, grad_fn=<MulBackward0>)"
19,"tensor(12.2063, grad_fn=<MulBackward0>)","tensor(7.3060, grad_fn=<MulBackward0>)","tensor(10.7647, grad_fn=<MulBackward0>)","tensor(19.5368, grad_fn=<MulBackward0>)","tensor(12.7038, grad_fn=<MulBackward0>)","tensor(34.3772, grad_fn=<MulBackward0>)","tensor(151.6803, grad_fn=<MulBackward0>)"
20,"tensor(12.1260, grad_fn=<MulBackward0>)","tensor(7.1217, grad_fn=<MulBackward0>)","tensor(10.6345, grad_fn=<MulBackward0>)","tensor(19.0002, grad_fn=<MulBackward0>)","tensor(13.0194, grad_fn=<MulBackward0>)","tensor(35.3100, grad_fn=<MulBackward0>)","tensor(156.0905, grad_fn=<MulBackward0>)"
21,"tensor(12.0551, grad_fn=<MulBackward0>)","tensor(6.8906, grad_fn=<MulBackward0>)","tensor(10.5916, grad_fn=<MulBackward0>)","tensor(18.4378, grad_fn=<MulBackward0>)","tensor(13.2326, grad_fn=<MulBackward0>)","tensor(36.6078, grad_fn=<MulBackward0>)","tensor(160.1569, grad_fn=<MulBackward0>)"
22,"tensor(11.9909, grad_fn=<MulBackward0>)","tensor(6.6922, grad_fn=<MulBackward0>)","tensor(10.5859, grad_fn=<MulBackward0>)","tensor(17.9369, grad_fn=<MulBackward0>)","tensor(13.4694, grad_fn=<MulBackward0>)","tensor(38.3071, grad_fn=<MulBackward0>)","tensor(162.9879, grad_fn=<MulBackward0>)"
23,"tensor(11.9146, grad_fn=<MulBackward0>)","tensor(6.5795, grad_fn=<MulBackward0>)","tensor(10.6156, grad_fn=<MulBackward0>)","tensor(17.5207, grad_fn=<MulBackward0>)","tensor(13.6565, grad_fn=<MulBackward0>)","tensor(40.2526, grad_fn=<MulBackward0>)","tensor(164.2990, grad_fn=<MulBackward0>)"
24,"tensor(11.8072, grad_fn=<MulBackward0>)","tensor(6.5023, grad_fn=<MulBackward0>)","tensor(10.6439, grad_fn=<MulBackward0>)","tensor(17.0942, grad_fn=<MulBackward0>)","tensor(13.9027, grad_fn=<MulBackward0>)","tensor(42.1923, grad_fn=<MulBackward0>)","tensor(165.4976, grad_fn=<MulBackward0>)"
25,"tensor(11.6664, grad_fn=<MulBackward0>)","tensor(6.4769, grad_fn=<MulBackward0>)","tensor(10.6926, grad_fn=<MulBackward0>)","tensor(16.8471, grad_fn=<MulBackward0>)","tensor(14.1598, grad_fn=<MulBackward0>)","tensor(44.3778, grad_fn=<MulBackward0>)","tensor(166.0794, grad_fn=<MulBackward0>)"
26,"tensor(11.5110, grad_fn=<MulBackward0>)","tensor(6.4553, grad_fn=<MulBackward0>)","tensor(10.7648, grad_fn=<MulBackward0>)","tensor(16.6221, grad_fn=<MulBackward0>)","tensor(14.4504, grad_fn=<MulBackward0>)","tensor(46.7697, grad_fn=<MulBackward0>)","tensor(166.1171, grad_fn=<MulBackward0>)"
27,"tensor(11.3793, grad_fn=<MulBackward0>)","tensor(6.4225, grad_fn=<MulBackward0>)","tensor(10.8472, grad_fn=<MulBackward0>)","tensor(16.3782, grad_fn=<MulBackward0>)","tensor(14.7086, grad_fn=<MulBackward0>)","tensor(49.2497, grad_fn=<MulBackward0>)","tensor(165.5699, grad_fn=<MulBackward0>)"
28,"tensor(11.1767, grad_fn=<MulBackward0>)","tensor(6.4284, grad_fn=<MulBackward0>)","tensor(10.9290, grad_fn=<MulBackward0>)","tensor(16.2464, grad_fn=<MulBackward0>)","tensor(15.0245, grad_fn=<MulBackward0>)","tensor(51.8885, grad_fn=<MulBackward0>)","tensor(165.9300, grad_fn=<MulBackward0>)"
29,"tensor(11.0373, grad_fn=<MulBackward0>)","tensor(6.3813, grad_fn=<MulBackward0>)","tensor(11.0221, grad_fn=<MulBackward0>)","tensor(16.0403, grad_fn=<MulBackward0>)","tensor(15.3391, grad_fn=<MulBackward0>)","tensor(54.5151, grad_fn=<MulBackward0>)","tensor(167.2145, grad_fn=<MulBackward0>)"
30,"tensor(10.8902, grad_fn=<MulBackward0>)","tensor(6.3779, grad_fn=<MulBackward0>)","tensor(11.1145, grad_fn=<MulBackward0>)","tensor(15.9262, grad_fn=<MulBackward0>)","tensor(15.6858, grad_fn=<MulBackward0>)","tensor(57.0951, grad_fn=<MulBackward0>)","tensor(168.7462, grad_fn=<MulBackward0>)"
31,"tensor(10.7705, grad_fn=<MulBackward0>)","tensor(6.3748, grad_fn=<MulBackward0>)","tensor(11.2114, grad_fn=<MulBackward0>)","tensor(15.8504, grad_fn=<MulBackward0>)","tensor(16.0530, grad_fn=<MulBackward0>)","tensor(59.5862, grad_fn=<MulBackward0>)","tensor(169.9356, grad_fn=<MulBackward0>)"
32,"tensor(10.6691, grad_fn=<MulBackward0>)","tensor(6.3653, grad_fn=<MulBackward0>)","tensor(11.2912, grad_fn=<MulBackward0>)","tensor(15.8587, grad_fn=<MulBackward0>)","tensor(16.4475, grad_fn=<MulBackward0>)","tensor(62.3223, grad_fn=<MulBackward0>)","tensor(171.8490, grad_fn=<MulBackward0>)"
33,"tensor(10.5496, grad_fn=<MulBackward0>)","tensor(6.3385, grad_fn=<MulBackward0>)","tensor(11.3968, grad_fn=<MulBackward0>)","tensor(15.8237, grad_fn=<MulBackward0>)","tensor(16.8478, grad_fn=<MulBackward0>)","tensor(65.0099, grad_fn=<MulBackward0>)","tensor(172.6821, grad_fn=<MulBackward0>)"
34,"tensor(10.4237, grad_fn=<MulBackward0>)","tensor(6.3324, grad_fn=<MulBackward0>)","tensor(11.4948, grad_fn=<MulBackward0>)","tensor(15.8214, grad_fn=<MulBackward0>)","tensor(17.2680, grad_fn=<MulBackward0>)","tensor(67.6722, grad_fn=<MulBackward0>)","tensor(170.2737, grad_fn=<MulBackward0>)"
35,"tensor(10.2968, grad_fn=<MulBackward0>)","tensor(6.3016, grad_fn=<MulBackward0>)","tensor(11.5975, grad_fn=<MulBackward0>)","tensor(15.7972, grad_fn=<MulBackward0>)","tensor(17.6843, grad_fn=<MulBackward0>)","tensor(70.3559, grad_fn=<MulBackward0>)","tensor(167.0124, grad_fn=<MulBackward0>)"
36,"tensor(10.1865, grad_fn=<MulBackward0>)","tensor(6.2920, grad_fn=<MulBackward0>)","tensor(11.6878, grad_fn=<MulBackward0>)","tensor(15.7879, grad_fn=<MulBackward0>)","tensor(18.1094, grad_fn=<MulBackward0>)","tensor(73.1039, grad_fn=<MulBackward0>)","tensor(167.0769, grad_fn=<MulBackward0>)"
37,"tensor(10.0537, grad_fn=<MulBackward0>)","tensor(6.2750, grad_fn=<MulBackward0>)","tensor(11.7947, grad_fn=<MulBackward0>)","tensor(15.7720, grad_fn=<MulBackward0>)","tensor(18.5557, grad_fn=<MulBackward0>)","tensor(75.6611, grad_fn=<MulBackward0>)","tensor(169.6928, grad_fn=<MulBackward0>)"
38,"tensor(9.9257, grad_fn=<MulBackward0>)","tensor(6.2551, grad_fn=<MulBackward0>)","tensor(11.8816, grad_fn=<MulBackward0>)","tensor(15.8080, grad_fn=<MulBackward0>)","tensor(18.9917, grad_fn=<MulBackward0>)","tensor(78.0604, grad_fn=<MulBackward0>)","tensor(175.1908, grad_fn=<MulBackward0>)"
39,"tensor(9.8305, grad_fn=<MulBackward0>)","tensor(6.2345, grad_fn=<MulBackward0>)","tensor(11.9471, grad_fn=<MulBackward0>)","tensor(15.7713, grad_fn=<MulBackward0>)","tensor(19.4227, grad_fn=<MulBackward0>)","tensor(80.6204, grad_fn=<MulBackward0>)","tensor(180.9315, grad_fn=<MulBackward0>)"
40,"tensor(9.7649, grad_fn=<MulBackward0>)","tensor(6.2380, grad_fn=<MulBackward0>)","tensor(12.0368, grad_fn=<MulBackward0>)","tensor(15.8353, grad_fn=<MulBackward0>)","tensor(19.8584, grad_fn=<MulBackward0>)","tensor(83.1247, grad_fn=<MulBackward0>)","tensor(185.9108, grad_fn=<MulBackward0>)"
41,"tensor(9.7095, grad_fn=<MulBackward0>)","tensor(6.2111, grad_fn=<MulBackward0>)","tensor(12.1248, grad_fn=<MulBackward0>)","tensor(15.8223, grad_fn=<MulBackward0>)","tensor(20.2748, grad_fn=<MulBackward0>)","tensor(85.4158, grad_fn=<MulBackward0>)","tensor(189.6666, grad_fn=<MulBackward0>)"
42,"tensor(9.6581, grad_fn=<MulBackward0>)","tensor(6.1931, grad_fn=<MulBackward0>)","tensor(12.1947, grad_fn=<MulBackward0>)","tensor(15.8847, grad_fn=<MulBackward0>)","tensor(20.7158, grad_fn=<MulBackward0>)","tensor(87.8657, grad_fn=<MulBackward0>)","tensor(192.5883, grad_fn=<MulBackward0>)"
43,"tensor(9.5692, grad_fn=<MulBackward0>)","tensor(6.1869, grad_fn=<MulBackward0>)","tensor(12.2761, grad_fn=<MulBackward0>)","tensor(15.9159, grad_fn=<MulBackward0>)","tensor(21.1771, grad_fn=<MulBackward0>)","tensor(90.5015, grad_fn=<MulBackward0>)","tensor(194.9657, grad_fn=<MulBackward0>)"
44,"tensor(9.5177, grad_fn=<MulBackward0>)","tensor(6.1827, grad_fn=<MulBackward0>)","tensor(12.3776, grad_fn=<MulBackward0>)","tensor(15.9426, grad_fn=<MulBackward0>)","tensor(21.6556, grad_fn=<MulBackward0>)","tensor(92.9743, grad_fn=<MulBackward0>)","tensor(197.3114, grad_fn=<MulBackward0>)"
45,"tensor(9.4583, grad_fn=<MulBackward0>)","tensor(6.1647, grad_fn=<MulBackward0>)","tensor(12.4525, grad_fn=<MulBackward0>)","tensor(16.0399, grad_fn=<MulBackward0>)","tensor(22.1169, grad_fn=<MulBackward0>)","tensor(95.2860, grad_fn=<MulBackward0>)","tensor(199.2696, grad_fn=<MulBackward0>)"
46,"tensor(9.4313, grad_fn=<MulBackward0>)","tensor(6.1483, grad_fn=<MulBackward0>)","tensor(12.5361, grad_fn=<MulBackward0>)","tensor(16.0413, grad_fn=<MulBackward0>)","tensor(22.5684, grad_fn=<MulBackward0>)","tensor(97.6046, grad_fn=<MulBackward0>)","tensor(201.4762, grad_fn=<MulBackward0>)"
47,"tensor(9.3950, grad_fn=<MulBackward0>)","tensor(6.1533, grad_fn=<MulBackward0>)","tensor(12.6157, grad_fn=<MulBackward0>)","tensor(16.1163, grad_fn=<MulBackward0>)","tensor(23.0574, grad_fn=<MulBackward0>)","tensor(100.0258, grad_fn=<MulBackward0>)","tensor(203.5369, grad_fn=<MulBackward0>)"
48,"tensor(9.3635, grad_fn=<MulBackward0>)","tensor(6.1705, grad_fn=<MulBackward0>)","tensor(12.6979, grad_fn=<MulBackward0>)","tensor(16.2074, grad_fn=<MulBackward0>)","tensor(23.5380, grad_fn=<MulBackward0>)","tensor(102.4193, grad_fn=<MulBackward0>)","tensor(205.2931, grad_fn=<MulBackward0>)"
49,"tensor(9.3378, grad_fn=<MulBackward0>)","tensor(6.2114, grad_fn=<MulBackward0>)","tensor(12.7799, grad_fn=<MulBackward0>)","tensor(16.2348, grad_fn=<MulBackward0>)","tensor(23.9904, grad_fn=<MulBackward0>)","tensor(104.4418, grad_fn=<MulBackward0>)","tensor(206.7583, grad_fn=<MulBackward0>)"
