,0.0,0.0001,0.001,0.01,0.1,1.0,10.0
17,"tensor(19.3881, grad_fn=<MulBackward0>)","tensor(16.2698, grad_fn=<MulBackward0>)","tensor(26.0139, grad_fn=<MulBackward0>)","tensor(10.1035, grad_fn=<MulBackward0>)","tensor(1.5023, grad_fn=<MulBackward0>)","tensor(0.2397, grad_fn=<MulBackward0>)","tensor(0.0239, grad_fn=<MulBackward0>)"
18,"tensor(18.8615, grad_fn=<MulBackward0>)","tensor(16.8357, grad_fn=<MulBackward0>)","tensor(25.6718, grad_fn=<MulBackward0>)","tensor(9.8642, grad_fn=<MulBackward0>)","tensor(1.4198, grad_fn=<MulBackward0>)","tensor(0.2285, grad_fn=<MulBackward0>)","tensor(0.0152, grad_fn=<MulBackward0>)"
19,"tensor(18.1959, grad_fn=<MulBackward0>)","tensor(17.2481, grad_fn=<MulBackward0>)","tensor(25.3660, grad_fn=<MulBackward0>)","tensor(9.6948, grad_fn=<MulBackward0>)","tensor(1.3335, grad_fn=<MulBackward0>)","tensor(0.1714, grad_fn=<MulBackward0>)","tensor(0.0093, grad_fn=<MulBackward0>)"
20,"tensor(17.5562, grad_fn=<MulBackward0>)","tensor(17.5298, grad_fn=<MulBackward0>)","tensor(25.0448, grad_fn=<MulBackward0>)","tensor(9.7568, grad_fn=<MulBackward0>)","tensor(1.2010, grad_fn=<MulBackward0>)","tensor(0.0977, grad_fn=<MulBackward0>)","tensor(0.0077, grad_fn=<MulBackward0>)"
21,"tensor(17.0594, grad_fn=<MulBackward0>)","tensor(17.7736, grad_fn=<MulBackward0>)","tensor(24.7812, grad_fn=<MulBackward0>)","tensor(10.3189, grad_fn=<MulBackward0>)","tensor(1.1733, grad_fn=<MulBackward0>)","tensor(0.0657, grad_fn=<MulBackward0>)","tensor(0.0091, grad_fn=<MulBackward0>)"
22,"tensor(16.7242, grad_fn=<MulBackward0>)","tensor(18.0522, grad_fn=<MulBackward0>)","tensor(24.5177, grad_fn=<MulBackward0>)","tensor(10.6101, grad_fn=<MulBackward0>)","tensor(1.1917, grad_fn=<MulBackward0>)","tensor(0.0600, grad_fn=<MulBackward0>)","tensor(0.0058, grad_fn=<MulBackward0>)"
23,"tensor(16.4071, grad_fn=<MulBackward0>)","tensor(18.3550, grad_fn=<MulBackward0>)","tensor(24.3010, grad_fn=<MulBackward0>)","tensor(10.4021, grad_fn=<MulBackward0>)","tensor(1.1854, grad_fn=<MulBackward0>)","tensor(0.0513, grad_fn=<MulBackward0>)","tensor(0.0038, grad_fn=<MulBackward0>)"
24,"tensor(16.1919, grad_fn=<MulBackward0>)","tensor(18.5391, grad_fn=<MulBackward0>)","tensor(24.0674, grad_fn=<MulBackward0>)","tensor(10.3095, grad_fn=<MulBackward0>)","tensor(1.1844, grad_fn=<MulBackward0>)","tensor(0.0395, grad_fn=<MulBackward0>)","tensor(0.0031, grad_fn=<MulBackward0>)"
25,"tensor(16.1125, grad_fn=<MulBackward0>)","tensor(18.6715, grad_fn=<MulBackward0>)","tensor(23.8767, grad_fn=<MulBackward0>)","tensor(10.4084, grad_fn=<MulBackward0>)","tensor(1.1947, grad_fn=<MulBackward0>)","tensor(0.0354, grad_fn=<MulBackward0>)","tensor(0.0019, grad_fn=<MulBackward0>)"
26,"tensor(16.1238, grad_fn=<MulBackward0>)","tensor(18.8330, grad_fn=<MulBackward0>)","tensor(23.6671, grad_fn=<MulBackward0>)","tensor(10.5671, grad_fn=<MulBackward0>)","tensor(1.2226, grad_fn=<MulBackward0>)","tensor(0.0266, grad_fn=<MulBackward0>)","tensor(0.0015, grad_fn=<MulBackward0>)"
27,"tensor(16.1771, grad_fn=<MulBackward0>)","tensor(18.9086, grad_fn=<MulBackward0>)","tensor(23.4099, grad_fn=<MulBackward0>)","tensor(10.6587, grad_fn=<MulBackward0>)","tensor(1.2243, grad_fn=<MulBackward0>)","tensor(0.0255, grad_fn=<MulBackward0>)","tensor(0.0014, grad_fn=<MulBackward0>)"
28,"tensor(16.2461, grad_fn=<MulBackward0>)","tensor(19.0215, grad_fn=<MulBackward0>)","tensor(23.1983, grad_fn=<MulBackward0>)","tensor(10.8017, grad_fn=<MulBackward0>)","tensor(1.2192, grad_fn=<MulBackward0>)","tensor(0.0242, grad_fn=<MulBackward0>)","tensor(0.0013, grad_fn=<MulBackward0>)"
29,"tensor(16.3194, grad_fn=<MulBackward0>)","tensor(19.1257, grad_fn=<MulBackward0>)","tensor(22.9692, grad_fn=<MulBackward0>)","tensor(10.8877, grad_fn=<MulBackward0>)","tensor(1.2137, grad_fn=<MulBackward0>)","tensor(0.0261, grad_fn=<MulBackward0>)","tensor(0.0013, grad_fn=<MulBackward0>)"
30,"tensor(16.3406, grad_fn=<MulBackward0>)","tensor(19.2517, grad_fn=<MulBackward0>)","tensor(22.8001, grad_fn=<MulBackward0>)","tensor(10.9446, grad_fn=<MulBackward0>)","tensor(1.1856, grad_fn=<MulBackward0>)","tensor(0.0244, grad_fn=<MulBackward0>)","tensor(0.0009, grad_fn=<MulBackward0>)"
31,"tensor(16.4008, grad_fn=<MulBackward0>)","tensor(19.3317, grad_fn=<MulBackward0>)","tensor(22.6260, grad_fn=<MulBackward0>)","tensor(10.8772, grad_fn=<MulBackward0>)","tensor(1.1514, grad_fn=<MulBackward0>)","tensor(0.0260, grad_fn=<MulBackward0>)","tensor(0.0008, grad_fn=<MulBackward0>)"
