,0.0,0.0001,0.001,0.01,0.1,1.0,10.0
17,"tensor(28.1583, grad_fn=<MulBackward0>)","tensor(23.6056, grad_fn=<MulBackward0>)","tensor(8.9417, grad_fn=<MulBackward0>)","tensor(15.3063, grad_fn=<MulBackward0>)","tensor(48.8033, grad_fn=<MulBackward0>)","tensor(120.2195, grad_fn=<MulBackward0>)","tensor(431.7599, grad_fn=<MulBackward0>)"
18,"tensor(28.2286, grad_fn=<MulBackward0>)","tensor(24.3265, grad_fn=<MulBackward0>)","tensor(8.6378, grad_fn=<MulBackward0>)","tensor(15.3119, grad_fn=<MulBackward0>)","tensor(48.4942, grad_fn=<MulBackward0>)","tensor(125.7330, grad_fn=<MulBackward0>)","tensor(461.2378, grad_fn=<MulBackward0>)"
19,"tensor(28.3880, grad_fn=<MulBackward0>)","tensor(25.0288, grad_fn=<MulBackward0>)","tensor(8.3288, grad_fn=<MulBackward0>)","tensor(15.5634, grad_fn=<MulBackward0>)","tensor(48.4928, grad_fn=<MulBackward0>)","tensor(131.3491, grad_fn=<MulBackward0>)","tensor(483.6140, grad_fn=<MulBackward0>)"
20,"tensor(28.6623, grad_fn=<MulBackward0>)","tensor(25.5571, grad_fn=<MulBackward0>)","tensor(8.2258, grad_fn=<MulBackward0>)","tensor(16.1618, grad_fn=<MulBackward0>)","tensor(49.1815, grad_fn=<MulBackward0>)","tensor(137.4939, grad_fn=<MulBackward0>)","tensor(502.4539, grad_fn=<MulBackward0>)"
21,"tensor(29.0642, grad_fn=<MulBackward0>)","tensor(25.8374, grad_fn=<MulBackward0>)","tensor(8.3078, grad_fn=<MulBackward0>)","tensor(16.8007, grad_fn=<MulBackward0>)","tensor(50.2146, grad_fn=<MulBackward0>)","tensor(143.4449, grad_fn=<MulBackward0>)","tensor(512.0883, grad_fn=<MulBackward0>)"
22,"tensor(29.5256, grad_fn=<MulBackward0>)","tensor(26.0253, grad_fn=<MulBackward0>)","tensor(8.5557, grad_fn=<MulBackward0>)","tensor(17.4951, grad_fn=<MulBackward0>)","tensor(51.5949, grad_fn=<MulBackward0>)","tensor(149.3035, grad_fn=<MulBackward0>)","tensor(490.6596, grad_fn=<MulBackward0>)"
23,"tensor(30.1873, grad_fn=<MulBackward0>)","tensor(26.2193, grad_fn=<MulBackward0>)","tensor(8.8475, grad_fn=<MulBackward0>)","tensor(18.3365, grad_fn=<MulBackward0>)","tensor(53.2622, grad_fn=<MulBackward0>)","tensor(155.3224, grad_fn=<MulBackward0>)","tensor(462.7334, grad_fn=<MulBackward0>)"
24,"tensor(31.0684, grad_fn=<MulBackward0>)","tensor(26.4312, grad_fn=<MulBackward0>)","tensor(9.0627, grad_fn=<MulBackward0>)","tensor(19.0638, grad_fn=<MulBackward0>)","tensor(55.0852, grad_fn=<MulBackward0>)","tensor(161.3770, grad_fn=<MulBackward0>)","tensor(458.6106, grad_fn=<MulBackward0>)"
25,"tensor(31.9582, grad_fn=<MulBackward0>)","tensor(26.6182, grad_fn=<MulBackward0>)","tensor(9.2468, grad_fn=<MulBackward0>)","tensor(19.8112, grad_fn=<MulBackward0>)","tensor(57.3211, grad_fn=<MulBackward0>)","tensor(167.5684, grad_fn=<MulBackward0>)","tensor(481.8175, grad_fn=<MulBackward0>)"
26,"tensor(32.3378, grad_fn=<MulBackward0>)","tensor(26.8281, grad_fn=<MulBackward0>)","tensor(9.3519, grad_fn=<MulBackward0>)","tensor(20.4736, grad_fn=<MulBackward0>)","tensor(59.5328, grad_fn=<MulBackward0>)","tensor(174.2145, grad_fn=<MulBackward0>)","tensor(518.7446, grad_fn=<MulBackward0>)"
